Article title	Section header	Previous context	Sentence	Follow-up context	Filler1	Rating1	Filler2	Rating2	Filler3	Rating3	Filler4	Rating4	Filler5	Rating5
How to ""Make a ""Wave"" Knot Bracelet	Steps	 (...) 6. Take the string that you just finished tying, and turn around and go over the tie-around strings for a second time. (...) 7. Repeat the previous step and tie all of the strings back to the other side. 	They should look like this ______.	8. Continue tying in this manner until you have reached the desired length of your bracelet (or anklet).	suit	2	image	5	tie	3	ensemble	3	pattern	4
How to Attach a Camera to a Tripod	Mounting the Camera	 1. Screw the camera onto the tripod. The camera might screw directly onto the tripod; you might need to clamp it into place; and you might need to tighten screws to hold the camera steady. 	Look for a threaded hole in the ______ of the camera.	If your camera screws directly onto the tripod, then the camera plate (tripod mount) should have a matching screw.	bottom	3.5	dome	4	optics	3	fabric	1	wall	4
How to Fit in when Visiting London	5\. Get Around	 (...) * There are two types of taxis \- Black Cabs and minicabs. (...) If you do choose to take a minicab, be sure to negotiate the price before you get in the car. 	After hailing a Black Cab, tell them through the window on the passengers' side where you'd like to go, then get into the ______ of the cab.	After you reach your destination, get out of the cab and pay the driver through the passengers' window.	bedroom	1	centre	2.5	garage	1	back	5	end	4
How to Decorate an Easter Punch Bowl	Steps	 1.	Get some long ______ of paper.	It can be coloured or not	stacks	3.5	volumes	1.5	slices	3	sheets	4	boxes	2
How to Make Nigiri Sushi	Steps	 1.	Cut each ______ of seafood into small and thin slices.	Avoid bulky or uneven cuts; presentation of the fish is important.	container	1.5	bowl	4	section	5	piece	5	species	2.5
How to Dye Jeans	Dyeing Jeans in a Washing Machine	 1. Fill the washing machine with hot water. (...) You don't have to wait for it to finish filling before moving on to the next step. (...) 	Pour the dye into the ______ of the washing machine.	Start with half a bottle of dye, which amounts to about .	filter	1	bowl	1	barrel	2.5	pocket	2	bath	2
How to Dress Like a Gangster Girl	Appearance	 1. Pick a style for your hair. Usually you want it to be uber curly (but not bushy) or super straight. 	You definitely want to put ______ of gel or mousse or baby oil in it.	If your parents allow it, get honey-colored highlights in your hair.	plenty	5	strings	3	grains	1	blocks	3	pots	1.5
How to Boil Eggs	Steps	 (...) 2. Cover the eggs with about 1"" or 2.5cm of water. (...) If the water is hot, though, you may risk the water getting too hot too early and overcooking the eggs (i.e. exposing the eggs to boiling temperature for too long). 3.	Add one ______ of salt or vinegar to the water.	This helps the proteins in the white coagulate faster so any cracks in the shell quickly get plugged.	percent	4	tablespoon	5	container	1	coat	2	scoop	4
How to Be Confident at the Gym when You Are Overweight	Intro	 Going to the gym can be intimidating, but it can be especially daunting if you are overweight. You may think everyone at the gym is more fit than you or that you will be unable to do what others can. 	However, no matter your weight or fitness level, you can gain confidence to go to the gym by not comparing yourself to other ______, realizing people aren’t staring at you, going through your workout slowly, and choosing exercises that you enjoy.		ones	5	athletes	2.5	men	3	employees	2.5	people	5
How to Write a Briefing Paper	Intro	 A briefing paper outlines a particular issue and its background, usually for a government official or other policy maker. These decision-makers have to make hard choices about many different topics every day, and they do not have time to research each one in-depth. 	A briefing paper helps bring a single ______ to someone's attention and fills in key details he or she needs to know.	It then proposes solutions and recommends improvements.	crisis	4	discipline	1.5	information	3	discussion	2.5	issue	4.5
How to Calculate Beta	Calculating Beta for a Stock	 (...) 5. Divide the difference in the stock's return rate minus the risk-free rate by the market (or index) rate of return minus the risk-free rate. (...) * When figuring beta, it is common, though not required, to use an index representative of the market in which the stock trades. 	For U.S. stocks, the S&P 500 is the index usually used, although ______ of an industrial stock may be better served by comparing it against the Dow Jones Industrial Average.	For stocks that trade internationally, the MSCI EAFE (representing Europe, Australasia and the Far East) is a suitable representative index.	management	1.5	indicators	3	analysis	3	rankings	4	fluctuations	4.5
How to Remove a Stamp from Its Envelope	Tips	 (...) * Some stamps, especially from the 19th and early 20th century, may be best left on the envelope. They will be more valuable that way. *	If you want to use these ______ again then just tape them to the envelope with clear scotch tape.		tags	1.5	prints	1	letters	4	stamps	4.5	subjects	3
How to Install Rei's Minimap in Minecraft	Related wikiHows.	 	It can be really easy to get lost in the ______ of Minecraft.	Even if you create a map and bring it with you, looking down at it while wandering through dark forests is a great way to get yourself blown to smithereens.	madness	4.5	game	5	craft	5	labyrinth	4.5	culture	2
How to Decide Whether or Not to Read a Book	Steps	 (...) 3. Ask others if they have read the book. Inquire about their opinions of that text and if they would recommend reading it. 	Read summaries of the book's ______.	Many novels include a short synopsis of the story on the back.	reviewers	4.5	material	4.5	content	4.5	bibliography	3	interests	3
How to Make Breakfast for Your Wife	Tips	 (...) * Do try to make a good meal. (...) You however, are not a child, so Make something amazing. *	If you want to go that extra ______, have a good song playing on the stereo (softly if you have kids asleep)	* If you know your kids could help, then let them, she will be happy to know you were able to involve your children, and it might make up for any slight mistakes you did.	road	1	mile	5	trail	2	evening	1	circle	1
How to Pass a Driving Test in the UK on the First Attempt	Steps	 (...) 11. All weather driving- make sure you gain practice in all weathers. (...) If you never drive in teh rain, how will you cope if it rains on test day? 	The following ______ will help you:	* Keep an eye on the weather forecast	advice	5	guidelines	5	notes	4.5	problems	3	sections	3
How to Make a Pillow out of a Plastic Bag	Steps	 1. Find a plastic bag. 	Preferably a 1-litre Ziploc/self-sealing bag, but in a pinch, any ______ will do.	2. With a Ziploc bag, close it.	tube	4.5	bag	5	size	2.5	paper	3.5	plastic	4.5
How to Clean a Burnt Oven Bottom	Applying a Cleaning Agent	 (...) 3. Use a store-bought cleaner if you don’t mind using harsh chemicals. (...) Spray the cleaning agent on the burnt areas, and let it soak in for 20-30 minutes. (...) 	Avoid getting any ______ of cleaner on the heating elements.	For electric ovens, lift up the thick metal wire that forms the bake element and apply the cleaner underneath.	type	3	kind	5	results	1.5	droplets	3.5	traces	5
How to Ride the MBTA Subway in Massachusetts	Sources and Citations.	 	The MBTA (Massachusetts Bay Transportation Authority) subway system is the most efficient ______ to get around Boston and its surrounding areas.	It is used by thousands of people each day.	system	5	railway	5	way	4	mechanism	2	subway	5
How to Make Ravioli	Tips	 * If you’re going to freeze unused ravioli, place them about a 1/2 inch apart on a sheet, dust with flour to prevent sticking, and then freeze. 	Once frozen, you can transfer the raviolis into a smaller ______.	Cover well to prevent freezer burn and freezer odor.	pool	2.5	pile	2.5	container	4.5	basin	3.5	tube	1
How to Escape from a Conflicting Situation	Steps	 1. Conflicts end up with an irreparable loss of peace of mind. 2. Either win or lose is not the criteria, but by sensing before hand is the key to success, to avoid it before hand. 3.	Have internal ______ of courage to be away from it, even if they think you are a timid person.	4. Real win comes from learning the art of keeping distance from conflict before hand.	depth	5	areas	1.5	reserves	4	symbols	2.5	perceptions	3.5
How to Perform a Cable Take Off for Traffic Signal Installation	Performing the Take-off	 1. Identify the installation page and one-line wire diagram. 	These ______ are for the intersection you wish to find the cable lengths for.	* Pictured above is the installation page.	pictures	2.5	diagrams	4.5	references	4	information	1.5	structures	2.5
How to Reduce Your Fall Risk with Exercise	Intro	 No one wants to fall, but as we age, that becomes an increasing concern. 	Studies have shown that exercise is one of the most effective ______ to prevent falls.	Exercise helps improve your lower body strength, balance, and coordination — all important for fall prevention.	ways	5	medications	1.5	forms	3.5	systems	3	mechanisms	4
How to Build a Router Table	Constructing the Table	 (...) 2. Make a frame with boards. (...) 3. Connect the boards using wood screws. 	Pre-drill 2 holes into the ______ of the boards so the wood doesn’t split.	Then use 2 construction screws in each corner to hold the longer board into the end of the shorter board.	majority	3.5	walls	4	interior	2	fibers	5	ends	4.5
How to Get Rid of Pet Hair on Clothes	Steps	 (...) 2. Brush your clothes down with a clothes brush. You can also use baby wet wipes, which is just as effective in gathering up all the pet hair from clothes bedding, seating, curtains, and ledges. 3.	Wring out a damp dish towel and place it over the ______ of an extended handle duster.	Secure the dish towel in place with thick stretch elastic bands and remove pet hair that way from curtains and window ledges.	end	4.5	body	3.5	point	3	backside	5	center	5
How to Get Nice Nails	Warnings	 * When you clip off the white tips of your nail, don't clip the nail into the shape you want, this will damage your nail badly. 	Just clip the majority of the ______ of the white bit off in one clip and FILE the white part of the nail.	* Don't file your nails back and forth, file in one direction, it is quicker and better for your nails.	bulk	3.5	portions	3	majority	2.5	result	3	rest	3
How to Get a Bee out of the House	Related wikiHows.	 	A bee in the house can be a ______ of worry, especially for children and for those with allergies.	Sure, you could use insect spray but a kinder and more eco-friendly option is to try to coax it back outside with this simple method.	spark	2	position	2	reservoir	2.5	symbol	1.5	source	5
How to Start a Fan Club	For an Actor	 1. Collect information on the person you want to honor. (...) If they are very famous and popular then you could try magazines. 	Get pictures of your favorite actor and get copies of his or her movies on ebay if the particular ______ you want is old.	Keep netflix as an option.	one	3	project	1.5	director	2.5	story	2.5	film	5
How to Buy Pearl Earrings	Related wikiHows	 *	How to Make a ______ of Pearl Earrings	* How to Make Dangling Pearl Earrings	bowl	1	Pair	5	shower	1	gift	4	collection	2.5
How to Know What Type of Feminine Hygiene Product to Use	Steps	 1. Know your products. (...) * Tampons are inserted into the vagina to absorb any blood before it leaves your body. 	They can be applicator or non-applicator; some ______ prefer applicator (either plastic or cardboard) so they do not have to touch their genitals too much, but non-applicators produce less waste and give more control when inserting.	Commercial tampons are made from a mix of rayon and cotton, treated with various chemicals and bleach, whereas organic tampons are made purely from cotton and do not contain chemicals or bleach.	users	3	clients	3.5	employees	3	females	4	men	3
How to Photograph Jupiter	Sources and Citations.	 	For the shutterbug who wants to capture an image of Jupiter, here are some steps and tips to ensure that you, your camera, and the night sky have a productive ______ together.		evening	5	connection	3	lifestyle	1	night	5	schedule	1
How to Install RAM	Installing Notebook RAM	 1. Find out what type of RAM is required for your laptop computer. RAM comes in a variety of models and speeds. 	The type of RAM you can get is dependent on your computer's ______.	Check your laptop’s documentation, or check the manufacturer’s website for the RAM specifications that are compatible with your hardware.	chassis	3.5	configuration	5	technology	4.5	setup	3.5	motherboard	5
How to Make Hands Look Younger	Rejuvenating Your Hands	 1. Treat age spots. These spots, which are also called liver spots, are caused by neither age nor your liver. 	In fact, they are ______ of hyperpigmentation caused by increased melanin production that occurs because of UV exposure.	The appearance of sun spots can be reduced with:	appearances	3.5	result	3.5	patterns	4.5	indicators	5	areas	4
How to Cope With News of a Plane Crash	Steps	 (...) 10. Talk to someone else you know about your feelings. Make sure that it is someone who connects well with you and understands that you can be easily upset by such stories. 	Ask them to help you work through your ______ of sadness and upset.	11. Expect some people to react badly to your voyeuristic grief.	family	1	fog	3.5	moments	5	regions	1.5	feelings	4.5
How to Prepare to Fly an Airplane in an Emergency	"""""""""""""""""""""""""""""" The """"""""""""""""""""""""""""""""go-round""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""	 (...) 2. Apply full power smoothly and increase the pitch (nose-up) to climb. (...) 3. Re-trim pitch for a climb. 	This ______ helps reduce the yoke pressure.	4. Climb out at 80 knots.	behavior	2	setup	2.5	strategy	2.5	configuration	3.5	action	3.5
How to Get Resin out of a Bowl	Tips	 * Another method to remove resin for smoking, while skipping the tedious scraping step, is to not use salt with the alcohol. (...) Then wait for your resin to dry; you want it to be alcohol-free before smoking. 	This ______ will take a long time and is not recommended for beginners.	* If your resin is a little fresh or you got it wet somehow, and you don't feel like waiting for it to dry, place it in the freezer so it hardens.	stuff	3	testing	1.5	program	3.5	process	4.5	filter	1.5
How to Reduce Heavy Menstrual Cramps	Seeking Medical Treatment to Relieve Severe Cramps	 (...) 3. Ask your doctor for a prescription for birth control. (...) * Some hormonal forms of birth control also reduce the frequency of periods, so that women might only have 4 periods instead of 12 per year. 	These ______ are known as continuous birth control pills, and many doctors assure that they are just as safe as other forms of hormonal birth control.	Reducing the frequency of menstruation could reduce the frequency of painful cramping.	changes	3.5	herbs	1	variations	3	suggestions	1.5	types	4
How to Draw a Female Anime Head on MS Paint	Drawing the Face	 1. Start with the nose and mouth. (...) Of course there are other kinds of mouths such as opened mouths so you aren't limited to only three kinds of mouths, 	Draw the ______ of the eyes.	This can be a hard part.	eyes	1.5	names	1.5	sides	4	whites	3.5	outside	5
How to Make a Duct Tape Tie	Steps	 (...) 3. Place the strips on the front of the tie, overlapping about a half an inch. Start at the bottom (this will make it waterproof and easier to tie. 	Place a ______ of duct tape lengthwise along the back of the tie.	Cut a couple more to cover it.	tape	1	pole	4	piece	4	box	1	cuff	2
How to Tell if You Have Anxiety Attack Symptoms	Recognizing Physical Symptoms	 (...) 4. Notice chills or hot flashed. (...) You might start sweating heavily or tremble, as this is a physical way for the mind to release stress when in shock. 	These ______ usually go away in a few minutes.	* Some people tend to get very hot while others get very cold; it all depends on the person.	symptoms	5	emotions	2.5	vibrations	3	shocks	4.5	areas	1
How to Write a Works Cited Page	Collecting Necessary Information	 	Collect all ______ of the cited materials.	Every published work that you cite in your paper needs to appear in your Works Cited list.	types	4.5	properties	3	notes	4	data	4.5	details	5
How to Bag and Ship Live Fish	Gathering Supplies and Readying the Fish	 (...) 3. Slowly decrease the water temperature to your fish breed’s lower limit. During the 24-48 hour isolation period, incrementally reduce the water temperature from the ideal to the lower healthy limit for that fish breed. 	This ______ will slow their metabolism, which means they’ll consume less oxygen and produce less carbon dioxide and waste.	* You might think you should increase the temperature to make up for heat loss during shipping, but the box’s insulation—along with heating pads, if needed—will take care of that.	difference	5	process	4	modification	4	strategy	4.5	inhibition	2.5
How to Understand Wolf Body Language	Signs of Dominance	 (...) 2. Watch the wolf stroll around its pack in a dominant fashion. (...) Its tail should also be raised to the same height as its spine. (...) 3.	See if a wolf is fighting with another ______.	One of the wolves may be the dominant one trying to gain control over a challenger.	werewolf	2.5	stallion	1.5	female	3	leader	4	wolf	4.5
How to Change Your Microsoft Office Incoming Mail Server	Related wikiHows	 * How to Add a Contact in Microsoft Office *	How to Add an Email Account to Older ______ of Microsoft Outlook	* How to Import Archived Outlook Email Into Gmail Using GML	servers	3.5	articles	1.5	edition	5	Versions	5	projects	2.5
How to Catch Your Breath	Recognizing the Signs of a Serious Medical Issue	 (...) 2. Learn about possible causes of acute shortness of breath. If you experience a sudden onset of shortness of breath (called acute shortness of breath), it could be caused by many possible conditions. 	If you do not have any pain or other symptoms associated with your shortness of breath, it could be a simple ______ of overexertion.	However, it could also be a more serious medical problem.	illness	3.5	result	4	explanation	3	indicator	4	case	4
How to Get a Learner's Permit in Massachusetts	Things You'll Need	 	of the Driver's Manual	* ID documents	Knowledge	5	bedroom	1.5	members	1	back	2.5	size	1
How to Duplicate Legacy Mods:2	Steps	 (...) 2. STEP2: Now, open up a new folder inside the Bethesda Softworks folder,which is Location 2 [L2]. (...) Call it ""STL Backup"". 	This ______ will be Location 3 [L3].	3. STEP3: In [L1], copy and paste the F_Excelsior file to the Backup file [L2].	container	3	#	1	section	2	repository	4	dvd	2
How to Eat Local in Hawaii	Tips	 *	Most of Hawaii's foods are influenced by the ______ of the Pacific Islands and several parts of Asia.	If you haven't had it before, try it.	people	4.5	recipes	5	biodiversity	2	agriculture	4.5	cultures	4.5
How to Identify Jellyfish	Steps	 (...) 7. Try to estimate the distance across the top of the body. (...) 8. Take the information gathered in the steps above and identify the jellyfish. 	To do this you can use an online ______ .	Or, check you local library for printed reference materials.	database	5	information	2.5	filter	1	source	4.5	analysis	4
How to Understand British Terms	Warnings	 *	Some words are less acceptable in British English than American ______.	* While wanker is used humorously in the US, it's a reference to someone who masturbates, and is generally a derogatory term.	creole	1.5	pronouns	2.5	hindi	2	English	5	dialects	5
How to Plant Bulbs in Grass	Planting Bulbs	 (...) 4. Dig holes for each bulb with a bulb planter. (...) You push the planter into the grass, then lift it to remove a plug of soil. 	It’s a very easy and effective way to plant ______ of bulbs.	* You can also make holes with a small trowel, a garden fork, or a metal spike.	bushes	2.5	pots	3	teams	1.5	batches	4.5	pods	5
How to Draw a Face	Tips.	 Don't give up, Don't give in. (...) Practice makes perfect. 	Get other ______ to critique your work, and listen.	Don't be offended and accept critiscim	people	5	musicians	1.5	men	2.5	clients	1.5	researchers	2
How to Take Care of Ducklings	Steps	 (...) 2. You can also put clean pebbles in a store bought waterer if it is too deep ducks need to be able to submerge their heads to clear their sinuses. (...) 3. Ducklings will eat on their own immediately. 	If you want, you can add a ______ of water to their food to make it sort of a mush.	You can add a small amount of sugar in their water for the first couple of days to help them get off to a good start and give them energy.	layer	4.5	lot	2	pool	3	source	2.5	bowl	4
How to Be an Efficient Restaurant Dishwasher	During Your Shift	 (...) 3. Use the appropriate sponges. You could possibly get away using an abrasive wire sponge on a charred and greasy pan, but use a non-abrasive scrub on ceramic dishes. (...) *	If you are required to wash by hand, add hot, soapy ______ to the dish and set it aside for a few minutes to allow it to soak.	4. Get to know your food enemies.	container	1	laundry	3	water	5	oil	2.5	items	4
How to Improve Your Math Grade	Steps	 (...) 6. The Rule of Ten-IYou can learn a skill in math by watching a good teacher do and explain one thousand problems or you could learn the same skill by doing one hundred practice problems, but the most effective method is to learn the same skill by teaching only ten problems. So, look for classmates who are having trouble with the lesson. 	Give them extra problems and show them how to complete them to lock in your own ______.	7. Be a diligent test taker.	skills	4.5	difficulties	3	information	4	reading	2.5	papers	1.5
How to Troubleshoot Tank Cycling Problems	Steps	 1. Test your tank water parameters. (...) Too high levels of ammonia can be overwhelming for the bacteria to eat. 	High levels of nitrite and nitrate may slow the bacteria's ______ down.	* Fishless cycling: Tanks should have no more than 4 ppm ammonia and no less than 2 ppm.	propagation	4	absorption	5	circulation	4	work	4.5	multiplication	4
How to Find Campaigns That Support Autism	Evaluating Campaigns.	 (...) 7. Keep in mind as you discuss these things with others: (...) Autistic children who do not talk have the same capacity as a non-autistic child for absorbing language in passive vocabulary -- they understand all or most of what is said. 	Never talk about an autistic ______ as if they're not there.	It's dehumanizing and objectifying.	activity	1	child	5	mother	2.5	person	5	crisis	1
How to Make an Indoor Aquaponics System	Steps	 (...) 3. The Plumbing 1 - The Standpipe. (...) * Use something called a bypass ball-valve on this system. 	This ______ diverts some of the water from the pump straight back into the fish tank.	This is so that we can control the amount of water going into the growbed, and the diverted water also creates some water movement in the fish tank as well as additional aeration.	pump	4.5	mechanism	4.5	item	5	system	4	process	5
How to Remove Ink Stains from Wood Furniture	For wood with finish: mineral spirits method	 (...) 3. Use a clean wet cloth to wipe the area. If the ink is still visible, repeat the process using a steel wool (number 0000). 4.	Rub the stained area using a ______ of steel wool moistened with mineral spirits.	Do this lightly and make sure you rub along the grain of the wood.	scarf	2	fabric	3.5	piece	5	bowl	2	ribbon	2.5
How to Deal With and Recover From Complete Knee Replacement Surgery	Steps	 (...) 14. Depending on your condition and your doctor you may be discharged on the forth day. (...) From the time your doctor writes the order until you leave may be one to two hours. 	For simplicity's ______, you may want to just wear a robe to go home.	Have you family bring what ever you need to wear.	sake	4	sanity	1	interpretation	2	information	1	explanation	2
How to Make Vegetarian Cannelloni	Steps	 1. Soak cannelloni tubes in warm water for 5-10 minutes. 	They would still be firm but this ______ reduces cooking time.	2. Make up your filling recipe in a bowl.	behavior	1.5	result	3	part	5	temperature	3	trick	4
How to Clean Flats	Cleaning Flat Leather Shoes	 1. Wipe off the leather flats with a dry cloth. 	Begin by using a clean, dry ______ to wipe off the leather shoes.	Go over every part of the shoe.	fabric	5	film	2	container	1	cloth	5	handkerchief	4.5
How to Avoid Falling in Love	Intro	 This is for girls that fall easily, and fall HARD. 	This ______ will require a lot of discipline, and a few heartbreaks under your belt, to have the motivation to stop love in its tracks.	But it is doable.	stuff	3.5	school	2.5	process	4.5	show	1	mission	4
How to Lighten Black Hair	Steps	 (...) 5. Purchase hair dye specially formulated for dark hair. (...) 6. Visit a salon if your lightening techniques don't help you achieve your desired results. 	Professional hair stylists are often able to easily strip your dark ______ of its color and add a lighter color on top of it.	* If you are looking to purchase a lightening shampoo or spray-in treatment, ask a professional hair stylist how it will affect black hair.	blonde	3.5	hair	4	color	2	fiber	2	ponytail	2.5
How to Play the Trombone	Steps	 (...) 4. Making sound come out of the instrument you first want to make buzzing sound with your lips. Letting your lips vibrate freely and then put the mouth piece up to your mouth and make the buzzing sound into the mouth piece. 5.	To play higher pitched ______ you must make your mouth tighter.	In order to do that you should smile or have your lips closer together.	harmony	3.5	saxophone	2.5	notes	5	passages	3	rhythm	2.5
How to Create a Harry Potter Bedroom	Decorating the room	 (...) 9. Add in some really cool stuff. (...) Set it near your bed and use it as a toy chest. (...) *	You could even hang the ______ of a Firebolt or Nimbus 2000 on the wall.	10. Enjoy your Harry Potter themed bedroom!	model	3.5	silhouette	3	symbols	4.5	skeleton	1	paintings	5
How to Sew an Amish Puzzle Ball	Steps	 1. Obtain about a quarter yard of closely woven fabric. (...) 9. Form a triangle from each group of three wedges by sewing their points together end to end. 10.	Join each wedge triangle to another ______ at the points, forming a cross or X shape.	When all points are sewn together, the wedges will form a ball shape.	configuration	2.5	point	3.5	orientation	1.5	circle	4.5	group	3
How to Clean a Coffee Maker with Vinegar	Rinsing the Coffee Maker	 (...) 3. Run the brew cycle three times. (...) Let your coffee maker cool down between each cycle. 4.	Wash the ______ of the coffee maker with soap and water.	Pour out the water from the brew cycle.	majority	3.5	interior	3	rooms	2	areas	2.5	outside	3.5
How to Diet to Lose Weight as a Teenage Girl	Steps	 (...) 13. When eating packaged foods, look at the nutrition label. (...) Look for: (...) 14.	It's important to know which nutrients outweigh the bad ______, and how to read a nutrition label.	It's almost always measured as grams and percentage of your daily value.	ones	4.5	substance	3	ingredients	3	nutrients	2	information	1
How to Change Negative Thought Patterns	Actively Changing Your Unhelpful Thinking Habits	 (...) 2. Avoid using negative language. (...) Allowing negative thoughts to grow within your mind causes them to influence how you react to situations, producing negative results. 	Consciously make an effort to replace these ______ with will and can.	Accept the fact that everyone occasionally fails, but see it as an opportunity to learn from the experience so you can do better next time.	notions	4.5	opinions	4	particles	1	events	4	words	5
How to Save Money in College	Intro	 I wish we all could have bank accounts. (...) That is when we don’t have enough cash no matter what how much we try to save. 	At least I feel that ______.	It can be for anything.	difference	2	direction	1	pain	2.5	way	3.5	connection	3
How to Disable the Capslock Key in Windows	External Links.	 (...) Note: (...) These instructions are specific to disabling the CapsLock key. 	A method to disable both ______ simultaneously is also provided.	Make sure you read the warnings section before you continue.	keyboards	5	properties	5	characters	4.5	keys	5	handles	2.5
How to Get Rid of Bad Habits	Tips	 (...) * Read about your habit. (...) For example, Wikipedia articles often have a ""Health Risks"" section of various practices and substances. 	It also helps by giving you a ______ of clarity.	You need to see the big picture, the bad and the good.	window	4	layer	3.5	dimension	3	source	3.5	sense	4.5
How to Access System UI Tuner in Android Oreo	Warnings	 	System UI Tuner's experimental features may change, break or disappear in future ______.		versions	5	updates	5	configurations	3.5	days	2.5	projects	5
How to Start a Spy Club	Tips	 (...) * Be sure to make a password or a sign with your hands to prove that the people that are trying to get in are true members of the club. * Make positions for new joiners. 	Ask if they would like to do a certain ______ or just what ever you want to give them.	* Remember the Three G's: Giggling, Gossiping, and Goofing Off.	research	2.5	work	2.5	outfit	2	reading	3.5	job	4
How to Cure Dry Mouth	Treating Dry Mouth	 (...) * Sugar has a high risk of causing tooth decay. (...) The sugar carries on attacking your teeth for 40 mins-1 hour. 	If you brush your teeth immediately after eating any meal you are brushing away thin ______ of the enamel, leading to highly sensitive teeth.	This means when you drink freezing cold water or eat freezing cold food or if you eat sugary sweets, your teeth will hurt.	films	4.5	sections	4.5	layers	5	parts	3	fibers	2
How to Drill a Hole in a Seashell (Without a Drill)	Steps	 1. Select your shell. (...) Size: a large shell is easier to work with, but make sure you have the right size for your project. 	Layers: some shells have layers that can crack off leaving a prettier ______ underneath.	2. Decide where to put the hole.	color	4	variety	2.5	region	4.5	container	4	layer	4.5
